06-07 Harvest 
,Area Name,Date,# of Hunters,# of Ducks,# of Waterfowl,Average Ducks,Average Geese,Average Waterfowl,#1 Duck Harvest,#2 Duck Harvest,#1 Duck Species,#2 Duck Species,
,ISLAND SLOUGH,1/6,16,19,23,1.19,0.25,1.44,13,4,GWTL,SHOV,
,ISLAND SLOUGH,1/7,16,3,3,0.19,,0.19,2,1,GWTL,SHOV,
,KESTERSON,1/3,53,122,127,2.30,0.09,2.40,62,25,GWTL,SHOV,
,KESTERSON,1/6,73,162,167,2.22,0.07,2.29,67,39,GWTL,SHOV,
,KESTERSON,1/7,69,60,63,0.87,0.01,0.91,29,20,SHOV,GWTL,
,LITTLE DRY CR. (UBB),1/3,87,342,362,3.93,0.23,4.16,95,68,MALL,AMWI,
,LITTLE DRY CR. (UBB),1/6,110,344,373,3.13,0.26,3.39,106,91,MALL,GADW,
,LITTLE DRY CR. (UBB),1/7,92,170,202,1.85,0.33,2.20,51,33,MALL,GADW,
,LLANO SECO (UBB),1/3,35,143,145,4.09,0.06,4.14,59,23,GWTL,MALL,
,LLANO SECO (UBB),1/6,44,45,47,1.02,0.05,1.07,12,11,GADW,MALL,
,LLANO SECO (UBB),1/7,26,16,16,0.62,,0.62,9,2,MALL,SHOV,
,LOS BANOS,1/3,85,191,199,2.25,0.08,2.34,74,26,GWTL,MALL,
,LOS BANOS,1/6,159,401,409,2.52,0.006,2.57,135,114,GWTL,SHOV,
,LOS BANOS,1/7,101,128,129,1.27,0.010,1.28,53,31,GWTL,SHOV,
,MENDOTA,1/3,192,516,516,2.69,,2.69,309,75,GWTL,SHOV,
,MENDOTA,1/6,391,875,882,2.24,0.006,2.26,355,186,GWTL,SHOV,
,MENDOTA,1/7,155,206,208,1.33,,1.34,84,34,GWTL,PNTL,
,MERCED,1/3,28,72,82,2.57,0.36,2.93,22,15,GWTL,MALL,
,MERCED,1/6,41,74,78,1.80,0.10,1.90,21,16,MALL,SHOV,
,NORTH FRIETAS,1/3,10,40,44,4.00,0.40,4.40,30,8,MALL,GWTL,
,NORTH FRIETAS,1/6,21,67,67,3.19,,3.19,50,14,GWTL,MALL,
,NORTH FRIETAS,1/7,15,18,18,1.20,,1.20,15,2,GWTL,AMWI,
,SOUTH FRIETAS,1/3,17,77,89,4.53,0.71,5.24,42,29,GWTL,MALL,
,SOUTH FRIETAS,1/6,32,81,81,2.53,,2.53,63,5,GWTL,AMWI,
,SOUTH FRIETAS,1/7,14,33,33,2.36,,2.36,23,5,GWTL,MALL,
,SALT SLOUGH (NO.GL),1/3,36,81,81,2.25,,2.25,50,13,GWTL,SHOV,
,SALT SLOUGH (NO.GL),1/6,67,173,173,2.58,,2.58,55,48,SHOV,GWTL,
,SALT SLOUGH (NO.GL),1/7,35,66,66,1.89,,1.89,37,11,GWTL,MALL,
,SALTON SEA NWR,1/3,8,11,14,1.38,0.38,1.75,3,3,GWTL,SHOV,
,SALTON SEA NWR,1/6,29,49,52,1.69,0.10,1.79,31,11,SHOV,GWTL,
,SALTON SEA NWR,1/7,9,4,5,0.44,0.11,0.56,4,0,SHOV,,
,SACRAMENTO,1/3,176,556,666,3.16,0.63,3.78,227,102,MALL,GADW,
,SACRAMENTO,1/6,213,458,480,2.15,0.08,2.25,115,111,SHOV,GADW,
,SACRAMENTO,1/7,151,150,169,0.99,0.12,1.12,37,34,SHOV,MALL,
,SAN JACINTO,1/3,104,109,115,1.05,0.03,1.11,59,20,SHOV,GADW,
,SAN JACINTO,1/6,136,91,93,0.67,0.01,0.68,37,21,SHOV,GADW,
,SAN LUIS,1/3,61,207,210,3.39,0.02,3.44,107,37,GWTL,MALL,
,SAN LUIS,1/6,131,291,294,2.22,,2.24,166,58,GWTL,SHOV,
,SAN LUIS,1/7,76,126,131,1.66,,1.72,84,19,GWTL,SHOV,
,SHASTA VALLEY,1/3,25,43,43,1.72,,1.72,20,8,MALL L,RNDU,
,SHASTA VALLEY,1/6,16,10,10,0.63,,0.63,4,3,MALL LL,GWTL,
,SHASTA VALLEY,1/7,13,5,5,0.38,,0.38,2,1,ADW,MAI ALL,
,SUTTER,1/3,91,169,197,1.86,0.31,2.16,54,45,MALL L,GWTL,
,SUTTER,1/6,91,333,388,3.66,0.60,4.26,96,80,GWTL,AMWI,
,SUTTER,1/7,104,188,204,1.81,0.15,1.96,61,57,GWTL,AMWI,
,VOLTA,1/3,41,105,105,2.56,,2.56,42,29,GWTL,SHOW,
,VOLTA,1/6,87,297,298,3.41,0.01,3.43,123,51,WTL,MALL,
,VOLTA,1/7,44,60,60,1.36,,1.36,27,11,MALL,GADW GA,
,WILLOW CREEK,1/3,2,2,3,1.00,0.50,1.50,2,10,AMWI,,
,WILLOW CREEK,1/6,1,3,3,3.00,,3.00,3,0,GADW,,
,WILLOW CREEK,1/7,4,1,1,0.25,,0.25,1,10,GADW,,
,WISTER,1/3,138,168,203,1.22,0.17,1.47,64,42,GWTL,SHOV,
,WISTER,1/6,270,563,619,2.09,0.21,2.29,243,156,GWTL,SHOV,
,WISTER,1/7,100,99,110,0.99,0.08,1.10,33,26,SHOV,GWTL,
,YOLO,1/3,82,166,171,2.02,0.05,2.09,77,22,GWTL,BUFH,
,YOLO,1/6,126,284,287,2.25,0.02,2.28,97,92,SHOV,GWTL,
,YOLO,1/7,84,140,142,1.67,0.01,1.69,61,34,GWTL,SHOV,
,WEST BEAR CREEK,1/3,23,66,68,2.87,0.09,2.96,23,17,GWTL,SHOV,
,WEST BEAR CREEK,1/6,38,93,93,2.45,,2.45,50,17,GWTL,SHOV,
,WEST BEAR CREEK,1/7,25,15,15,0.60,,0.60,5,3,MALL,GWTL,
,WEST FAMILY JR UNIT,1/3,4,5,5,1.25,,1.25,2,2,CINT,BUFH,
,WEST FAMILY JR UNIT,1/6,4,7,8,1.75,,2.00,2,2,GADW,BUFH,
,WEST FAMILY JR UNIT,1/7,4,9,9,2.25,,2.25,3,2,AMWI,GOLD,
,SACRAMENTO,1/10,88,326,353,3.70,0.26,4.01,144,41,GADW,SHOV,
,SACRAMENTO,1/13,129,671,707,5.20,0.16,5.48,179,160,GADW,GWTL,
,SACRAMENTO,1/14,85,322,445,3.79,0.38,5.24,108,64,GADW,SHOV,
,ASH CREEK,1/10,8,15,23,1.88,1.00,2.88,6,3,MALL,AMWI,
,ASH CREEK,1/13,13,0,8,,0.62,0.62,0,0,,,
,ASH CREEK,1/14,8,0,6,,0.75,0.75,0,0,,,
,DELEVAN,1/10,148,530,558,3.58,0.19,3.77,143,119,GADW,GWTL,
,DELEVAN,1/13,196,1109,1153,5.66,0.20,5.88,265,249,GWTL,GADW,
,DELEVAN,1/14,156,537,558,3.44,0.13,3.58,171,130,GADW,SHOV,
,BUTTE VALLEY,1/10,29,0,39,,1.34,1.34,0,0,,,
,BUTTE VALLEY,1/13,27,0,3,,0.11,0.11,0,0,,,
,BUTTE VALLEY,1/14,3,0,0,,,,0,0,,,
,FINNEY-RAMER,1/10,0,0,0,,,,0,0,,,
,FINNEY-RAMER,1/11,3,2,2,0.67,,0.67,2,0,GWTL,,
,FINNEY-RAMER,1/12,2,3,3,1.50,,1.50,2,1,SHOV,GWTL,
,FINNEY-RAMER,1/13,0,0,0,,,,0,0,,,
,FINNEY-RAMER,1/14,5,6,6,1.20,,1.20,3,3,GWTL,SHOV,
,GADWALL (NO.GL),1/10,34,113,113,3.32,,3.32,75,19,GWTL,SHOV,
,GADWALL (NO.GL),1/13,34,184,184,5.41,,5.41,138,19,GWTL,SHOV,
,GADWALL (NO.GL),1/14,32,55,55,1.72,,1.72,34,9,GWTL,SHOV,
,GOLD HILLS,1/10,1,1,1,1.00,,1.00,1,0,GWTL,,
,GOLD HILLS,1/13,2,0,0,,,,0,0,,,
,GOODYEAR SLOUGH,1/10,4,5,5,1.25,,1.25,2,1,AMWI,MALL,
,GOODYEAR SLOUGH,1/13,9,8,8,0.89,,0.89,6,2,AMWI,SHOV,
,GOODYEAR SLOUGH,1/14,7,1,1,0.14,,0.14,1,0,SHOV,,
,GRAY LODGE,1/10,182,565,605,3.10,0.12,3.32,111,91,GADW,MALL,
,GRAY LODGE,1/13,292,1038,1237,3.55,0.28,4.24,203,198,MALL,GADW,
,GRAY LODGE,1/14,207,520,626,2.51,0.38,3.02,119,101,MALL,GADW,
,GRIZZLY ISLAND,1/10,124,365,383,2.94,0.04,3.09,106,100,GWTL,AMWI,
,GRIZZLY ISLAND,1/13,212,539,563,2.54,,2.66,158,135,AMWI,GWTL,
,GRIZZLY ISLAND,1/14,86,98,101,1.14,0.03,1.17,27,21,AMWI,SHOV,
,JOICE ISLAND,1/10,0,0,0,,,,0,0,,,
,JOICE ISLAND,1/14,6,21,21,3.50,,3.50,10,6,MALL,GWTL,
,HONEY LAKE-DAKIN,1/10,17,2,8,0.12,0.35,0.47,1,1,MALL,PNTL,
,HONEY LAKE-DAKIN,1/13,24,2,7,0.08,0.21,0.29,2,0,MALL,,
,HONEY LAKE-DAKIN,1/14,11,0,0,,,,0,0,,,
,HONEY LAKE-FLEMING,1/10,27,44,58,1.63,0.52,2.15,22,9,MALL,GWTL,
,HONEY LAKE-FLEMING,1/13,23,0,4,0,,0.17,0,0,,,
,HONEY LAKE-FLEMING,1/14,9,8,11,0.89,0.33,1.22,6,2,GWTL,MALL,
,HOWARD SLOUGH (UBB),1/10,60,125,130,2.08,0.08,2.17,28,27,MALL,SHOV,
,HOWARD SLOUGH (UBB),1/13,70,173,200,2.47,0.39,2.86,58,52,MALL,SHOV,
,HOWARD SLOUGH (UBB),1/14,35,67,76,1.91,0.26,2.17,23,21,MALL,AMWI,
,KERN,1/10,135,391,397,2.90,,2.94,153,66,SHOV,GWTL,
,KERN,1/13,126,468,468,3.71,,3.71,195,113,SHOV,GWTL,
,ISLAND SLOUGH,1/10,13,17,19,1.31,0.15,1.46,10,4,GWTL,AMWI,
,ISLAND SLOUGH,1/13,17,19,19,1.12,,1.12,8,6,SHOV,GWTL,
,ISLAND SLOUGH,1/14,16,20,20,1.25,,1.25,8,5,GADW,PNTL,
,KESTERSON,1/10,51,176,176,3.45,,3.45,72,68,GWTL,SHOV,
,KESTERSON,1/13,82,232,236,2.83,0.05,2.88,87,82,SHOV,GWTI TL,
,KESTERSON,1/14,58,84,85,1.45,,1.47,32,27,GWTL,SHOV,
,LITTLE DRY CR. (UBB),1/10,87,341,362,3.92,0.24,4.16,99,87,MALL,GADW,
,LITTLE DRY CR. (UBB),1/13,100,434,516,4.34,0.81,5.16,192,72,MALL,GADW,
,LITTLE DRY CR. (UBB),1/14,78,315,352,4.04,0.47,4.51,132,39,MALL,GADV OW,
,LLANO SECO (UBB),1/10,36,30,30,0.83,,0.83,10,5,AMWI,MALL,
,LLANO SECO (UBB),1/13,36,72,72,2.00,,2.00,22,17,MALL,AMWI,
,LLANO SECO (UBB),1/14,30,65,66,2.17,0.03,2.20,20,20,MALL,AMWI,
,LOS BANOS,1/10,96,181,186,1.89,0.05,1.94,56,32,GWTL,SHOV,
,LOS BANOS,1/13,178,610,634,3.43,0.08,3.56,182,157,GWTL,SHOV,
,LOS BANOS,1/14,104,176,184,1.69,0.03,1.77,53,42,MALL,SHOV,
,MENDOTA,1/10,209,509,517,2.44,0.02,2.47,190,90,GWTL,SHOV,
,MENDOTA,1/13,415,1353,1360,3.26,0.005,3.28,552,358,GWTL,SHOV,
,MENDOTA,1/14,213,493,523,2.31,0.02,2.46,228,107,GWTL,SHOV,
,MERCED,1/10,28,59,62,2.11,0.11,2.21,22,14,GWTL,MALL,
,MERCED,1/13,40,93,101,2.33,0.20,2.53,43,17,SHOV,GADW,
,NORTH FRIETAS,1/10,12,63,63,5.25,,5.25,53,3,GWTL,MALL,
,NORTH FRIETAS,1/13,28,33,33,1.18,,1.18,21,7,MALL,WDDU U,
,NORTH FRIETAS,1/14,14,11,11,0.79,,0.79,6,3,MALL,AMWI,
,SOUTH FRIETAS,1/10,15,57,58,3.80,0.07,3.87,51,3,GWTL,MALL,
,SOUTH FRIETAS,1/13,17,35,40,2.06,0.29,2.35,13,7,GWTL,MALI L,
,SOUTH FRIETAS,1/14,18,23,24,1.28,0.06,1.33,7,5,GWTL,SHOV,
,SALT SLOUGH (NO.GL),1/10,31,105,105,3.39,,3.39,43,25,SHOV,GWTL,
,SALT SLOUGH (NO.GL),1/13,73,262,264,3.59,0.01,3.62,94,81,SHOV,MALL,
,SALT SLOUGH (NO.GL),1/14,54,131,131,2.43,,2.43,41,36,SHOV,MALL,
,SALTON SEA NWR,1/10,6,14,22,2.33,1.33,3.67,6,4,SHOV,GWTL,
,SALTON SEA NWR,1/13,28,129,147,4.61,0.64,5.25,52,46,SHOV,GWTL,
,SALTON SEA NWR,1/14,16,9,25,0.56,1.00,1.56,4,3,SHOV,GWTL,
,SACRAMΕΝΤΟ,1/10,154,478,524,3.10,0.25,3.40,136,94,GADW,GWTL,
,SACRAMΕΝΤΟ,1/13,223,854,914,3.83,0.24,4.10,183,174,GADW,SHOV,
,SACRAMΕΝΤΟ,1/14,143,356,436,2.49,0.53,3.05,101,89,GADW,MALL,
,SAN JACINTO,1/10,79,140,140,1.77,,1.77,54,45,SHOV,GWTL,
,SAN JACINTO,1/13,122,217,217,1.78,,1.78,110,58,SHOV,GWTL,
,SAN LUIS,1/10,81,251,252,3.10,0.01,3.11,133,37,GWTL,SHOV,
,SAN LUIS,1/13,114,296,297,2.60,0.009,2.61,110,92,GWTL,SHOV,
,SAN LUIS,1/14,75,87,87,1.16,,1.16,29,24,GWTL,SHOV,
,SHASTA VALLEY,1/10,14,26,26,1.86,,1.86,8,7,GADW,RNDU,
,SHASTA VALLEY,1/13,5,0,0,,,,0,0,,,
,SHASTA VALLEY,1/14,4,1,1,0.25,,0.25,1,0,RNDU,,
,SUTTER,1/10,80,146,190,1.83,0.55,2.38,45,27,MALL,AMWI,
,SUTTER,1/13,101,510,606,5.05,0.95,6.00,195,136,AMWI,MALL,
,SUTTER,1/14,116,364,429,3.14,0.56,3.70,114,85,AMWI,MALL,
,VOLTA,1/10,45,161,161,3.58,,3.58,86,35,GWTL,SHOV,
,VOLTA,1/13,82,365,366,44.45,0.01,4.46,142,80,GWTL,SHOV,
,VOLTA,1/14,48,143,150,2.98,,3.13,60,28,SHOV,GWTL,
,WILLOW CREEK,1/10,1,2,2,2.00,,2.00,2,0,MALL,,
,WILLOW CREEK,1/13,2,6,6,3.00,,3.00,6,0,GADW,,
,WILLOW CREEK,1/14,0,0,0,,,,0,0,,,
,WISTER,1/10,123,190,225,1.54,0.28,1.83,92,42,GWTL,SHOV,
,WISTER,1/13,307,790,845,2.57,0.18,2.75,399,224,GWTL,SHOV,
,WISTER,1/14,121,95,112,0.79,0.14,0.93,40,26,GWTL,SHOV,
,YOLO,1/10,75,169,170,2.25,0.01,2.27,62,54,GWTL,SHOV,
,YOLO,1/13,112,462,467,41.13,0.03,4.17,200,130,GWTL,SHOV,
,YOLO,1/14,120,240,260,2.00,0.03,2.17,112,58,GWTL,SHOV,
,WEST BEAR CREEK,1/10,25,60,61,2.40,0.04,2.44,26,14,GWTL,MALL,
,WEST BEAR CREEK,1/13,37,130,131,3.51,0.03,3.54,35,26,MALL,GWTL,
,WEST BEAR CREEK,1/14,32,89,91,2.78,,2.84,33,17,SHOV,MALL,
,WEST FAMILY JR,1/10,0,0,0,,,,0,0,,,
,WEST FAMILY JR,1/13,2,0,0,,,,0,0,,,
,WEST FAMILY JR,1/14,2,0,0,,,,0,0,,,
,ASH CREEK,1/17,1,2,2,2.00,,2.00,2,0,OTDU,,
,DELEVAN,1/17,186,1042,1254,5.60,1.14,6.74,397,167,GADW,AMWI,
,DELEVAN,1/20,162,783,1014,4.83,1.42,6.26,228,179,GADW,SHOV,
,DELEVAN,1/21,183,573,743,3.13,0.92,4.06,188,124,GADW,SHOV,
,BUTTE VALLEY,1/17,0,0,0,,,,0,0,,,
,FINNEY-RAMER,1/18,2,3,3,1.50,,1.50,3,0,GWTL,,
,FINNEY-RAMER,1/20,3,5,5,1.67,,1.67,3,2,GWTL,SHOV,
,FINNEY-RAMER,1/21,2,7,7,3.50,,3.50,5,2,GWTL,SHOV,
,COLUSA,1/17,111,627,761,5.65,1.15,6.86,188,146,GADW,GWTL,
,COLUSA,1/20,132,585,625,4.43,0.23,4.73,183,127,GADW,GWTL,
,COLUSA,1/21,114,363,463,3.18,0.88,4.06,100,78,GADW,GWTL,
,GADWALL (NO.GL),1/17,34,162,163,4.76,,4.79,109,16,GWTL,SHOV,
,GADWALL (NO.GL),1/20,38,119,119,3.13,0.03,3.13,84,16,GWTL,SHOV,
,GADWALL (NO.GL),1/21,34,121,125,3.56,0.03,3.68,66,28,GWTL,SHOV,
,GRAY LODGE,1/17,240,1131,1261,4.71,0.53,5.25,270,241,MALL,GADW,
,GRAY LODGE,1/20,455,1714,1806,3.77,0.20,3.97,361,266,GADW,AMWI,
,GRAY LODGE,1/21,323,765,903,2.37,0.38,2.80,160,128,GADW,AMWI,
,GRIZZLY ISLAND,1/17,116,391,391,3.37,,3.37,192,64,AMWI,SHOV,
,GRIZZLY ISLAND,1/20,174,535,542,3.07,0.006,3.11,164,130,AMWI,GWTL,
,GRIZZLY ISLAND,1/21,92,222,224,2.41,0.02,2.43,74,37,AMWI,MALL,
,JOICE ISLAND,1/21,7,22,22,3.14,,3.14,14,6,MALL,GADW,
,HOWARD SLOUGH (UBB),1/17,58,305,349,5.26,0.76,6.02,99,81,MALL,AMWI,
,HOWARD SLOUGH (UBB),1/20,86,286,306,3.33,0.23,3.56,62,59,AMWI,MALL,
,HOWARD SLOUGH (UBB),1/21,64,122,150,1.91,0.44,2.34,37,28,WDDU,MALL,
,KERN,1/17,108,560,560,5.19,,5.19,198,101,SHOV,GADW,
,KERN,1/20,138,518,518,3.75,,3.75,181,120,SHOV,GWTL,
,KESTERSON,1/17,40,142,142,3.55,,3.55,63,44,SHOV,GWTL,
,KESTERSON,1/20,81,222,224,2.74,0.02,2.77,105,70,SHOV,GWTL,
,KESTERSON,1/2,,49,87,102,1.78,0.31,2.08,43,19,SHOV,GWTL
,LITTLE DRY CR. (UBB),1/17,102,541,661,5.30,1.18,6.48,227,104,MALL,AMWI,
,LITTLE DRY CR. (UBB),1/20,99,491,594,4.96,1.04,6.00,143,120,MALL,GADW,
,LITTLE DRY CR. (UBB),1/21,98,396,501,4.04,1.07,5.11,117,83,MALL,AMWI,
,LLANO SECO (UBB),1/17,22,97,98,44.41,0.05,4.45,31,25,MALL,AMWI,
,LLANO SECO (UBB),1/20,55,129,135,2.35,0.11,2.45,35,31,AMWI,MALL,
,LLANO SECO (UBB),1/21,32,62,67,1.94,0.16,2.09,18,12,AMWI,MALL,
,LOS BANOS,1/17,84,297,310,3.54,0.06,3.69,83,62,SHOV,MALL,
,LOS BANOS,1/20,169,483,498,2.86,0.09,2.95,121,102,GWTL,SHOV,
,LOS BANOS,1/21,100,249,269,2.49,0.20,2.69,66,65,GWTL,SHOV,
,MENDOTA,1/17,209,1004,1004,4.80,,4.80,497,175,GWTL,SHOV,
,MENDOTA,1/20,483,1521,1532,3.15,0.008,3.17,664,353,GWTL,SHOV,
,MENDOTA,1/21,226,336,341,1.49,0.02,1.51,124,66,GWTL,SHOV,
,MERCED,1/17,28,91,99,3.25,0.29,3.54,25,18,SHOV,GADW,
,MERCED,1/20,29,95,96,3.28,0.03,3.31,35,19,SHOV,GWTL,
,NORTH FRIETAS,1/17,18,36,36,2.00,,2.00,21,4,GWTL,GADW,
,NORTH FRIETAS,1/20,26,24,24,0.92,,0.92,11,5,GWTL,CINT,
,NORTH FRIETAS,1/21,0,0,0,,,,0,0,,,
,SOUTH FRIETAS,1/17,10,12,12,1.20,,1.20,4,3,GWTL,MALL,
,SOUTH FRIETAS,1/20,38,19,20,0.50,,0.53,18,1,GWTL,AMWI,
,SOUTH FRIETAS,1/21,11,11,11,1.00,,1.00,8,2,GWTL,WDDU,
,SALT SLOUGH (NO.GL),1/17,42,168,168,4.00,,4.00,56,47,SHOV,MALL,
,SALT SLOUGH (NO.GL),1/20,89,124,125,1.39,0.01,1.40,57,22,SHOV,GWTL,
,SALT SLOUGH (NO.GL),1/21,41,99,99,2.41,,2.41,41,18,SHOV,MALL,
,SALTON SEA NWR,1/17,28,36,53,1.29,0.61,1.89,23,4,SHOV,GWTL,
,SALTON SEA NWR,1/20,39,60,73,1.54,0.33,1.87,32,20,SHOV,GWTL,
,SALTON SEA NWR,1/21,21,34,49,1.62,0.71,2.33,28,2,SHOV,PNTL,
,SACRAMENTO,1/17,159,688,881,4.33,1.19,5.54,207,119,GADW,SHOV,
,SACRAMENTO,1/20,274,847,1095,3.09,0.91,4.00,183,177,SHOV,GADW,
,SACRAMENTO,1/21,218,427,704,1.96,1.27,3.23,88,81,GADW,MALL,
,SAN JACINTO,1/17,83,311,322,3.75,0.12,3.88,158,87,SHOV,GWTL,
,SAN JACINTO,1/20,130,204,205,1.57,0.008,1.58,91,66,GWTL,SHOV,
,SAN LUIS,1/17,58,148,149,2.55,0.02,2.57,47,46,CINT,GWTL,
,SAN LUIS,1/20,89,171,171,1.92,,1.92,59,45,GWTL,SHOV,
,SAN LUIS,1/21,72,90,92,1.25,0.01,1.28,42,24,SHOV,GWTL,
,SUTTER,1/17,120,456,630,3.80,1.45,5.25,135,104,MALL,AMWI,
,SUTTER,1/20,121,397,491,3.28,0.78,4.06,131,83,MALL,AMWI,
,SUTTER,1/21,132,505,601,3.83,0.73,4.55,149,148,AMWI,MALL,
,VOLTA,1/17,61,298,298,4.89,,4.89,86,65,GWTL,SHOV,
,VOLTA,1/20,102,436,439,4.27,0.03,4.30,165,126,GWTL,SHOV,
,VOLTA,1/21,53,163,163,3.08,,3.08,47,35,SHOV,GWTL,
,WISTER,1/17,128,303,327,2.37,0.17,2.55,127,80,GWTL,SHOV,
,WISTER,1/20,272,629,653,2.31,0.08,2.40,298,162,GWTL,SHOV,
,WISTER,1/21,116,159,228,1.37,0.59,1.97,61,52,GWTL,SHOV,
,YOLO,1/17,92,325,326,3.53,,3.54,138,59,SHOV,AMWI,
,YOLO,1/20,124,277,287,2.23,0.07,2.31,91,67,SHOV,GWTL,
,YOLO,1/21,129,395,402,3.06,0.05,3.12,117,100,SHOV,GWTL,
,WEST BEAR CREEK,1/17,33,116,116,3.52,,3.52,35,27,GWTL,SHOV,
,WEST BEAR CREEK,1/20,63,103,103,1.63,,1.63,32,26,GWTL,MALL,
,WEST BEAR CREEK,1/21,29,83,83,2.86,,2.86,27,25,SHOV,MALL,
,CHINA ISLAND (NO.GL),1/24,30,52,52,1.73,,1.73,21,13,GWTL,SHOV,
,CHINA ISLAND (NO.GL),1/27,48,123,123,2.56,,2.56,44,36,SHOV,GWTL,
,CHINA ISLAND (NO.GL),1/28,28,59,61,2.11,0.07,2.18,17,12,MALL,GWTL,
,DELEVAN,1/24,177,579,653,3.27,0.42,3.69,141,138,GWTL,GADW,
,DELEVAN,1/27,200,503,620,2.52,0.58,3.10,129,114,GADW,GWTL,
,DELEVAN,1/28,183,244,273,1.33,0.16,1.49,59,48,GWTL,GADW,
,FINNEY-RAMER,1/24,3,2,2,0.67,,0.67,2,0,GWTL,,
,FINNEY-RAMER,1/25,1,2,2,2.00,,2.00,2,0,GWTL,,
,FINNEY-RAMER,1/26,5,6,6,1.20,,1.20,4,2,GWTL,SHOV,
,FINNEY-RAMER,1/27,8,10,10,1.25,,1.25,5,4,GWTL,SHOV,
,FINNEY-RAMER,1/28,4,6,6,1.50,,1.50,3,2,GWTL,SHOV,
,COLUSA,1/24,110,395,418,3.59,0.20,3.80,125,76,GADW,GWTL,
,COLUSA,1/27,118,409,432,3.47,0.17,3.66,134,64,GADW,GWTL,
,COLUSA,1/28,107,166,196,1.55,0.09,1.83,54,32,GWTL,GADW,
,GADWALL (NO.GL),1/24,35,169,169,4.83,,4.83,124,28,GWTL,SHOV,
,GADWALL (NO.GL),1/27,33,149,149,4.52,,4.52,95,19,GWTL,SHOV,
,GADWALL (NO.GL),1/28,40,56,56,1.40,,1.40,24,12,GWTL,CINT,
,GRIZZLY ISLAND,1/24,150,461,465,3.07,0.02,3.10,141,94,AMWI,GWTL,
,GRIZZLY ISLAND,1/27,253,532,533,2.10,0.03,2.11,149,116,GWTL,AMWI,
,GRIZZLY ISLAND,1/28,132,145,149,1.10,,1.13,45,30,GWTL,MALL,
,JOICE ISLAND,1/28,6,13,14,2.17,0.17,2.33,5,4,GADW,GWTL,
,HOWARD SLOUGH (UBB),1/24,77,200,207,2.60,0.09,2.69,53,34,WDDU,SHOV,
,HOWARD SLOUGH (UBB),1/27,97,202,207,2.08,0.05,2.13,41,29,WDDU,GWTL,
,HOWARD SLOUGH (UBB),1/28,55,104,116,1.89,0.22,2.11,23,14,WDDU,MALL,
,KESTERSON,1/24,82,212,212,2.59,,2.59,76,71,SHOV,GWTL,
,KESTERSON,1/27,90,161,162,1.79,0.01,1.80,85,37,GWTL,SHOV,
,KESTERSON,1/28,60,61,61,1.02,,1.02,23,16,GWTL,SHOV,
,LITTLE DRY CR. (UBB),1/24,97,415,499,4.28,0.87,5.14,118,113,MALL,GADW,
,LITTLE DRY CR. (UBB),1/27,105,379,470,3.61,0.87,4.48,95,86,GADW,MALL,
,LITTLE DRY CR. (UBB),1/28,108,239,288,2.21,0.45,2.67,55,48,GWTL,GADW,
,LLANO SECO (UBB),1/24,32,75,75,2.34,,2.34,24,21,AMWI,WDDU,
,LLANO SECO (UBB),1/27,60,108,115,1.80,0.07,1.92,31,23,AMWI,GADW,
,LLANO SECO (UBB),1/28,36,54,54,1.50,,1.50,23,8,AMWI,GADW,
,LOS BANOS,1/24,126,340,353,2.70,0.10,2.80,95,64,SHOV,GWTL,
,LOS BANOS,1/27,183,312,340,1.70,0.12,1.86,106,57,GWTL,SHOV,
,LOS BANOS,1/28,125,156,165,1.25,0.07,1.32,87,18,GWTL,SHOV,
,MENDOTA,1/24,299,838,840,2.80,0.007,2.81,306,169,GWTL,SHOV,
,MENDOTA,1/27,487,1028,1058,2.11,0.04,2.17,430,137,GWTL,SHOV,
,MENDOTA,1/28,256,370,385,1.45,0.05,1.50,170,50,GWTL,MALL,
,MERCED,1/24,27,75,75,2.78,,2.78,21,14,SHOV,MALL,
,MERCED,1/27,34,71,77,2.09,0.18,2.26,30,18,GWTL,SHOV,
,NORTH FRIETAS,1/24,8,33,33,4.13,,4.13,26,2,GWTL,GADW,
,NORTH FRIETAS,1/27,26,93,94,3.58,0.04,3.62,80,5,GWTL,AMWI,
,NORTH FRIETAS,1/28,21,33,33,1.57,,1.57,17,10,GWTL,MALL,
,SOUTH FRIETAS,1/24,4,17,17,4.25,,4.25,8,5,GWTL,MALL,
,SOUTH FRIETAS,1/27,11,40,40,3.64,,3.64,35,2,GWTL,MALL,
,SOUTH FRIETAS,1/28,7,24,26,3.43,0.29,3.71,17,4,GWTL,MALL,
,SALT SLOUGH (NO.GL),1/24,53,187,188,3.53,0.02,3.55,94,39,SHOV,GWTL,
,SALT SLOUGH (NO.GL),1/27,69,68,69,0.99,0.01,1.00,25,18,GWTL,SHOV,
,SALT SLOUGH (NO.GL),1/28,44,95,96,2.16,0.02,2.18,40,23,GWTL,MALL,
,SALTON SEA NWR,1/24,12,24,26,2.00,0.17,2.17,8,8,GWTL,SHOV,
,SALTON SEA NWR,1/27,46,74,78,1.61,0.09,1.70,43,12,SHOV,GWTL,
,SALTON SEA NWR,1/28,29,7,9,0.24,0.07,0.31,6,1,SHOV,PNTL,
,SACRAMENTO,1/24,202,621,699,3.07,0.39,3.46,173,111,GWTL,GADW,
,SACRAMENTO,1/27,268,656,782,2.45,0.45,2.92,153,133,GADW,GWTL,
,SACRAMENTO,1/28,203,168,243,0.83,0.24,1.20,33,24,SHOV,GADW,
